"","HUC8","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1","15020003",295.662628173828,295.484832763672,189.293014526367,250.650375366211,232.629043579102,237.04833984375,315.727416992188,284.922027587891,214.405838012695,271.640441894531,278.997009277344,262.282043457031,179.123001098633,247.031951904297,290.733428955078,229.311599731445,235.427871704102,271.849273681641,244.286056518555,296.5322265625,282.052825927734,272.801177978516,269.772613525391,277.041259765625,324.62158203125,350.120269775391,395.105224609375,288.491516113281,333.292877197266,288.149169921875,312.534606933594,177.062423706055,272.814361572266,236.307998657227,382.947784423828,279.591979980469,290.197418212891,201.163223266602,252.469650268555,290.690185546875,277.500213623047,289.566711425781,262.454833984375,249.938201904297,234.249374389648,196.560974121094,252.390991210938,208.072143554688,260.152099609375,240.004180908203,258.473541259766,170.944305419922,248.017593383789,221.04443359375,213.917373657227,260.5849609375,261.616271972656,401.23291015625,258.389617919922,200.94123840332,285.755310058594,299.723785400391,170.179351806641,228.360107421875,319.776397705078
"2","15020004",275.165618896484,283.310333251953,191.439666748047,243.126724243164,225.727203369141,235.739715576172,309.611938476562,284.658477783203,214.210357666016,252.064331054688,282.768280029297,259.985321044922,178.037338256836,230.450225830078,274.166412353516,238.67594909668,230.363525390625,256.91650390625,239.309509277344,286.130889892578,280.789001464844,266.920074462891,270.009307861328,270.010833740234,318.258239746094,346.184478759766,374.658660888672,304.921173095703,316.305755615234,292.556549072266,308.717224121094,169.984924316406,262.138610839844,221.570327758789,378.889068603516,268.432922363281,279.852630615234,202.754852294922,226.164840698242,287.095184326172,273.476623535156,277.164764404297,250.673400878906,232.088333129883,223.590866088867,200.687026977539,249.380722045898,211.036437988281,234.673751831055,210.730911254883,256.160461425781,152.768844604492,249.3515625,216.06867980957,208.026229858398,261.544372558594,248.687240600586,394.214263916016,254.23600769043,186.62548828125,269.616058349609,301.234344482422,183.248107910156,246.421096801758,295.798156738281
"3","15010014",239.442718505859,207.71305847168,174.6806640625,132.192199707031,106.141708374023,172.189071655273,92.2149200439453,267.607879638672,154.898956298828,188.223510742188,147.667709350586,208.081954956055,172.730270385742,143.844573974609,183.71858215332,200.918167114258,179.297653198242,141.133209228516,224.595901489258,200.146987915039,420.367340087891,298.722229003906,253.806625366211,191.959167480469,275.947448730469,300.8291015625,303.639190673828,184.633575439453,205.306503295898,227.331558227539,191.5654296875,121.220001220703,211.666702270508,240.066101074219,343.392852783203,225.765274047852,223.356826782227,187.310104370117,133.859191894531,204.382537841797,250.64909362793,145.047515869141,148.163467407227,130.905792236328,62.3810691833496,187.010803222656,304.405029296875,212.848098754883,88.4387588500977,139.996017456055,142.303833007812,129.909042358398,183.895248413086,127.143531799316,274.163269042969,145.519424438477,139.45654296875,227.575805664062,168.83642578125,149.611923217773,187.283966064453,291.334136962891,107.061676025391,141.982681274414,112.138473510742
"4","15020001",447.521514892578,404.78955078125,299.718963623047,375.584014892578,364.814025878906,351.619964599609,432.528778076172,403.046020507812,362.268280029297,417.506866455078,400.908111572266,382.749908447266,278.142150878906,350.097839355469,393.940582275391,332.034362792969,339.679534912109,401.963836669922,370.625579833984,435.867523193359,398.224212646484,360.002136230469,384.245025634766,395.747192382812,424.330841064453,539.158630371094,532.856018066406,431.828765869141,464.965484619141,403.444641113281,438.198944091797,271.745452880859,396.490631103516,361.869567871094,512.557067871094,372.608917236328,402.065338134766,312.378997802734,382.252044677734,391.165985107422,429.309265136719,416.925933837891,348.540710449219,384.24560546875,366.095581054688,315.549499511719,344.548583984375,300.442016601562,397.084167480469,353.752105712891,411.582580566406,266.256439208984,386.481201171875,338.574584960938,333.308441162109,396.165863037109,363.534362792969,563.006042480469,390.408752441406,332.877410888672,398.380157470703,422.169830322266,238.207626342773,350.375213623047,468.041046142578
"5","15020005",425.362579345703,398.325744628906,307.072448730469,359.959442138672,346.139801025391,342.388519287109,425.492553710938,401.928863525391,344.564239501953,371.720123291016,421.910461425781,425.180267333984,284.652923583984,340.067474365234,375.6142578125,347.744232177734,334.699432373047,406.890228271484,387.863708496094,426.10498046875,426.690063476562,389.212097167969,414.467407226562,395.891906738281,457.363006591797,525.032897949219,546.864379882812,471.671783447266,451.830749511719,427.160278320312,430.76123046875,288.973236083984,387.073883056641,377.930328369141,553.893005371094,381.823577880859,413.897155761719,320.953643798828,339.704711914062,364.522644042969,426.773773193359,387.738006591797,354.241851806641,366.96728515625,313.373840332031,336.752502441406,379.206420898438,305.238067626953,349.143524169922,286.891693115234,400.903839111328,242.749908447266,381.575653076172,353.842712402344,332.532196044922,411.307678222656,359.472717285156,573.321044921875,396.296325683594,286.598266601562,396.316101074219,455.82568359375,267.361511230469,401.381195068359,447.881805419922
"6","15020009",229.54426574707,256.535430908203,185.884124755859,227.446151733398,207.465560913086,232.80485534668,276.030242919922,285.594390869141,212.862747192383,216.509490966797,273.313262939453,251.650421142578,175.3798828125,205.731216430664,243.894454956055,235.089599609375,219.759719848633,227.717742919922,214.964141845703,252.043807983398,257.970703125,241.428527832031,249.458633422852,250.181427001953,303.775726318359,318.333068847656,327.369293212891,309.203277587891,292.370330810547,294.522644042969,288.333465576172,154.159164428711,247.385604858398,203.846069335938,347.490478515625,259.262939453125,245.428344726562,201.532302856445,203.396591186523,274.947021484375,261.684356689453,248.252716064453,223.346649169922,203.332275390625,198.265487670898,194.102172851562,244.65446472168,206.492416381836,208.83283996582,177.631118774414,240.564041137695,137.651397705078,255.307556152344,205.095230102539,187.81657409668,261.483489990234,225.339004516602,374.058258056641,235.51042175293,168.772018432617,247.458084106445,297.781890869141,137.685913085938,247.569610595703,247.44010925293
"7","15020010",407.994995117188,384.282501220703,324.585144042969,333.107452392578,345.70947265625,367.083374023438,401.900360107422,434.165832519531,374.301879882812,389.398345947266,412.173950195312,444.691986083984,312.197784423828,329.854766845703,363.879272460938,339.475860595703,334.621734619141,381.738464355469,404.311676025391,404.387481689453,394.06640625,379.113006591797,393.576385498047,412.55712890625,456.557830810547,526.8740234375,524.716064453125,493.941284179688,454.811614990234,453.958618164062,433.038177490234,302.427001953125,415.379760742188,388.856231689453,565.578247070312,397.8349609375,391.839813232422,340.412567138672,336.473266601562,354.773223876953,440.624053955078,395.266296386719,334.713134765625,348.934112548828,271.628845214844,364.449798583984,383.985076904297,311.673950195312,351.636596679688,271.025787353516,419.023284912109,248.079360961914,416.825317382812,358.924652099609,340.367553710938,430.352172851562,349.122406005859,576.415344238281,397.450927734375,290.351287841797,381.346893310547,431.834899902344,261.146881103516,399.896453857422,462.508270263672
"8","15020012",200.084548950195,191.851043701172,210.317306518555,221.081359863281,193.985046386719,236.427215576172,217.169860839844,306.571136474609,242.732192993164,223.276794433594,265.581451416016,250.168334960938,197.069915771484,182.019958496094,221.381332397461,246.386337280273,186.568450927734,195.568710327148,177.475021362305,204.294403076172,236.082778930664,235.92138671875,254.971176147461,258.924255371094,309.358337402344,324.196075439453,232.513763427734,307.674346923828,264.700256347656,297.443939208984,264.860626220703,132.613265991211,229.549591064453,209.944244384766,328.771667480469,258.529815673828,222.099731445312,218.326126098633,185.329727172852,271.527221679688,271.589263916016,237.068405151367,209.121948242188,194.106994628906,186.16943359375,203.767959594727,282.529602050781,222.261444091797,183.234619140625,176.642242431641,227.03581237793,144.32096862793,276.275238037109,201.817321777344,185.974594116211,269.264526367188,211.034820556641,354.714080810547,221.156555175781,162.616287231445,215.020492553711,236.756378173828,110.599052429199,225.822494506836,235.633926391602
"9","15020014",217.44873046875,223.266342163086,196.323547363281,202.701156616211,192.450256347656,218.447769165039,250.864120483398,278.322082519531,210.047637939453,210.913024902344,263.807434082031,243.890426635742,176.985565185547,188.776733398438,231.776779174805,229.759292602539,191.82292175293,209.285797119141,198.699234008789,224.481384277344,232.933532714844,235.141326904297,242.508041381836,245.415451049805,292.582977294922,304.514251708984,275.929748535156,299.462982177734,262.518585205078,284.79296875,262.282989501953,144.148956298828,230.487762451172,198.263946533203,344.636199951172,255.49641418457,229.158828735352,200.426147460938,186.084075927734,252.445709228516,253.891830444336,226.812164306641,199.524108886719,182.366836547852,177.128295898438,190.534240722656,263.693786621094,206.081604003906,184.777542114258,160.083679199219,228.187927246094,123.287780761719,256.413024902344,195.777618408203,185.254486083984,250.001312255859,212.207550048828,351.037994384766,222.910598754883,149.373504638672,225.639282226562,287.806457519531,111.06324005127,247.915252685547,219.212158203125
"10","15020015",444.824615478516,362.953186035156,385.047637939453,354.340789794922,338.167755126953,392.283203125,382.081176757812,495.102874755859,368.162384033203,432.673309326172,367.953765869141,422.706939697266,374.227905273438,347.058746337891,367.967651367188,326.106750488281,327.186859130859,367.051147460938,389.480773925781,390.045989990234,341.308868408203,356.754760742188,368.524780273438,455.871734619141,432.213836669922,513.716552734375,434.270874023438,452.563018798828,472.056518554688,461.789672851562,419.216186523438,275.174407958984,471.977630615234,403.453674316406,506.34326171875,377.422943115234,373.496124267578,361.285186767578,332.224060058594,396.56884765625,463.137908935547,402.446624755859,318.050170898438,319.490753173828,244.121383666992,372.897644042969,429.188415527344,336.587249755859,351.850708007812,293.742828369141,370.988250732422,259.988891601562,418.705383300781,357.901641845703,348.428588867188,423.575592041016,326.899475097656,561.916809082031,384.181335449219,278.263946533203,352.997528076172,424.868774414062,241.800796508789,411.695007324219,422.419921875
