BFI,BASIN,SITENUM,YEAR,LAT,LONG,PRECIP_MM,TEMP_C,AREA_KM2,SLOPE_DEGREES,ELEVATION_MASL,ET_MM,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
0.349,AGUA FRIA,9512800,1981,34.01558948,-112.1679378,35.55819702,17.0639458,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
0.628,AGUA FRIA,9512500,2011,34.3153073,-112.0640455,23.54400253,16.7393494,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
0.439,AGUA FRIA,9512500,2009,34.3153073,-112.0640455,21.91485977,17.1646195,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
0.18,AGUA FRIA,9512800,2019,34.01558948,-112.1679378,51.30288315,16.3723393,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
0.119,AGUA FRIA,9512500,2012,34.3153073,-112.0640455,27.63560677,17.5775833,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
0.206,AGUA FRIA,9512800,1987,34.01558948,-112.1679378,41.74415207,16.0843868,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
0.185,AGUA FRIA,9512800,1988,34.01558948,-112.1679378,34.1000824,16.5611534,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
0.36,AGUA FRIA,9512800,1989,34.01558948,-112.1679378,23.61885452,17.2818108,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
0.305,AGUA FRIA,9512500,1975,34.3153073,-112.0640455,25.24977493,15.5418177,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
0.207,AGUA FRIA,9512800,1993,34.01558948,-112.1679378,59.15763474,16.3249607,4800.94081,13.3722534,1230.232788,147.9606628,0.000116,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9.00E-04,2.00E-04,1.00E-04,0,0.0771,0,0.5243,0.0653,0,1.00E-04,0.001,2.00E-04,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9.00E-04,0.3035,0.3774
