"","HUC","ET_mm"
"1","15020003",255.169288635254
"2","15020004",247.001477559408
"3","15010014",183.402445348104
"4","15020001",374.411489359538
"5","15020005",370.5718556722
"6","15020009",229.234070841471
"7","15020010",371.698231506348
"8","15020012",222.58688583374
"9","15020014",217.012206268311
"10","15020015",367.760826619466
"11","15030202",335.164915974935
"12","15030203",343.984210205078
"13","15030204",201.85609258016
"14","15040007",445.041010538737
"15","15060101",489.318607584635
"16","15060102",491.859634399414
"17","15060103",460.895549519857
"18","15060104",446.989830525716
"19","15060105",472.382108561198
"20","15070104",207.817784118652
"21","14080204",229.890526835124
"22","15070102",362.148996480306
"23","15070103",309.032026163737
"24","15020013",227.374769337972
"25","15030103",205.528305308024
"26","15030105",156.692387135824
"27","15030106",129.117342122396
"28","15040005",392.550685628255
"29","15050100",312.637134806315
"30","15050201",384.807878112793
"31","15050203",419.558940633138
"32","15050301",417.743738301595
"33","15050302",420.748438008626
"34","15050303",223.456066894531
"35","15050304",347.459823099772
"36","15050305",265.936151631673
"37","15050306",232.576431020101
"38","15060106",316.161189778646
"39","15070101",178.99323425293
"40","15070201",121.489472834269
"41","15070202",162.044785563151
"42","15070203",140.967435201009
"43","15030107",75.5417621612549
"44","15030108",78.7280534744263
"45","15050202",389.356679789225
"46","15080101",260.161177571615
"47","15080102",185.937027994792
"48","15080103",121.904007339478
"49","15030101",142.545677312215
"50","15080200",438.813697306315
"51","15080301",374.344915771484
"52","15040006",329.846419270833
"53","15030104",106.207703781128
"54","15040002",340.515063985189
"55","15040003",376.670979817708
"56","15080302",355.974063110352
"57","15010002",293.134886169434
"58","15010004",331.121947733561
"59","15010007",240.110532124837
"60","15010009",320.186713155111
"61","15020002",279.827397155762
"62","15020007",221.375701904297
"63","15020008",286.894154866536
"64","15020011",228.330221303304
"65","15020016",237.750443522135
"66","15020017",205.014572397868
"67","15020018",202.085182189941
"68","15030201",291.601690165202
"69","15060201",345.175818888346
"70","15060202",432.587568664551
"71","15020006",275.065264892578
"72","15040004",425.662239583333
"73","15010005",222.986706797282
"74","15010006",254.348450978597
"75","14070006",194.539831797282
"76","14070007",269.860862223307
"77","14080201",242.594062550863
"78","14080205",209.015321350098
"79","15010003",319.726550801595
"80","15060203",450.767325337728
"81","14080106",354.037131245931
"82","14080105",266.797977193197
"83","15010010",243.530981190999
"84","15010001",266.67935333252
