HUC8,RECHARGE_mm,RECHARGE_km,Area_km2,Recharge_km3,Recharge_af
14070006,1.21,1.21398E-06,3696.54,0.00,3638.10
14070007,13.62,1.36248E-05,989.57,0.01,10930.66
14080105,1.12,0.00,731.75,0.00,665.52
14080106,100.78,0.00,23.56,0.00,1925.22
14080201,-8.47,0.00,621.56,-0.01,-4269.15
14080204,-2.73,0.00,9961.97,-0.03,-22066.66
14080205,-2.29,0.00,1798.78,0.00,-3335.91
15010001,39.01,3.90065E-05,3802.84,0.15,120257.59
15010002,18.46,0.00,6607.56,0.12,98887.85
15010003,25.70,2.56959E-05,4428.92,0.11,92263.39
15010004,53.06,5.30643E-05,7599.01,0.40,326909.17
15010005,6.90,6.90324E-06,4373.32,0.03,24475.49
15010006,3.64,3.64161E-06,2177.02,0.01,6427.21
15010007,5.48,5.47896E-06,3663.42,0.02,16272.42
15010009,5.00,4.99804E-06,3902.75,0.02,15813.89
15010010,10.73,1.07273E-05,1275.67,0.01,11094.22
15010014,6.03,6.02579E-06,1795.62,0.01,8771.96
15020001,22.87,2.28668E-05,1955.84,0.04,36258.17
15020002,12.91,1.29091E-05,4188.55,0.05,43835.74
15020003,0.65,6.46736E-07,857.03,0.00,449.36
15020004,9.52,9.51918E-06,1801.74,0.02,13904.62
15020005,14.20,1.42012E-05,2456.80,0.03,28285.48
15020006,12.98,1.29821E-05,1430.89,0.02,15059.78
15020007,9.66,9.65682E-06,2889.69,0.03,22623.18
15020008,5.63,5.62561E-06,6539.44,0.04,29824.78
15020009,3.45,3.45019E-06,2106.65,0.01,5892.55
15020010,15.08,1.50835E-05,2123.64,0.03,25968.74
15020011,-1.25,0.00,4342.50,-0.01,-4407.24
15020012,-4.11,0.00,1895.56,-0.01,-6310.17
15020013,-12.28,0.00,2994.49,-0.04,-29812.66
15020014,-10.54,0.00,2432.49,-0.03,-20780.51
15020015,42.98,4.29801E-05,3106.55,0.13,108246.37
15020016,13.19,1.31865E-05,6201.87,0.08,66300.97
15020017,0.92,9.15197E-07,2121.58,0.00,1574.13
15020018,2.44,2.44236E-06,6868.47,0.02,13599.94
15030101,4.31,4.3129E-06,3134.43,0.01,10959.63
15030103,3.60,3.60288E-06,3449.44,0.01,10075.47
15030104,7.64,7.63825E-06,3944.18,0.03,24424.08
15030105,3.44,3.43874E-06,4185.30,0.01,11667.92
15030106,5.03,5.02887E-06,1850.43,0.01,7544.18
15030107,1.03,1.02869E-06,184.14,0.00,153.56
15030108,1.69,1.68944E-06,1634.16,0.00,2238.23
15030201,10.04,1.00354E-05,5576.21,0.06,45367.28
15030202,25.42,2.54174E-05,1846.91,0.05,38057.86
15030203,3.75,3.74929E-06,3710.89,0.01,11279.64
15030204,3.14,3.14078E-06,2783.02,0.01,7086.33
15040002,-9.08,0.00,1381.12,-0.01,-10169.90
15040003,-51.24,0.00,44.58,0.00,-1852.16
15040004,26.93,2.69346E-05,2429.67,0.07,53054.85
15040005,-11.16,0.00,7171.80,-0.08,-64877.07
15040006,-3.94,0.00,5221.92,-0.02,-16684.05
15040007,-14.17,0.00,2786.71,-0.04,-32004.82
15050100,-4.36,0.00,8508.07,-0.04,-30058.95
15050201,-2.98,0.00,4284.53,-0.01,-10355.16
15050202,-3.47,0.00,4631.43,-0.02,-13021.42
15050203,-11.64,0.00,5133.36,-0.06,-48453.06
15050301,-6.14,0.00,5771.98,-0.04,-28723.81
15050302,-3.09,0.00,2384.94,-0.01,-5965.74
15050303,-0.12,0.00,4357.82,0.00,-428.11
15050304,-1.33,0.00,3649.14,0.00,-3929.65
15050305,-2.00,0.00,1899.01,0.00,-3081.63
15050306,1.11,1.10617E-06,3130.76,0.00,2807.62
15060101,61.33,6.13325E-05,3241.24,0.20,161164.46
15060102,109.82,0.00,1653.01,0.18,147175.97
15060103,19.98,1.99779E-05,5579.21,0.11,90363.07
15060104,14.25,1.42488E-05,1838.82,0.03,21241.40
15060105,22.70,2.26961E-05,2715.83,0.06,49971.45
15060106,-4.84,0.00,2696.06,-0.01,-10586.44
15060201,15.31,1.53132E-05,5578.16,0.09,69250.69
15060202,22.89,2.28869E-05,6496.47,0.15,120539.99
15060203,10.50,1.05022E-05,5093.64,0.05,43368.67
15070101,1.74,1.7366E-06,5221.07,0.01,7350.66
15070102,-6.06,0.00,7115.79,-0.04,-34967.70
15070103,1.33,1.32862E-06,3810.24,0.01,4104.12
15070104,-6.77,0.00,5002.53,-0.03,-27452.36
15070201,1.09,1.08681E-06,10858.12,0.01,9567.01
15070202,-1.21,0.00,2784.04,0.00,-2722.03
15070203,5.96,5.95644E-06,4263.09,0.03,20586.36
15080101,8.81,8.81235E-06,5582.50,0.05,39883.05
15080102,20.12,2.01177E-05,1099.48,0.02,17932.21
15080103,7.86,7.8556E-06,1288.80,0.01,8207.91
15080200,11.99,1.19928E-05,332.92,0.00,3236.91
15080301,-6.12,0.00,3119.91,-0.02,-15468.40
15080302,9.01,9.01476E-06,1021.79,0.01,7467.63
