HUC8,RECHARGE_mm,RECHARGE_km,Area_km2,Recharge_km3,Recharge_af,,,UC8,mean_predictedBFI,mean_P,mean_ET,mean_Q,mean_R,recharge_AF,,
14070006,1.21,1.21398E-06,3696.54,0,3638.1,,,14070006,0.5185376,197.967,194.5403,3.42666667,1.77685565,5324.946275,,
14070007,13.62,1.36248E-05,989.57,0.01,10930.66,<<< USES CLIMATE NORMAL,,14070007,0.4595861,283.9517,269.8607,14.091,6.47602785,5195.446789,,
14080105,1.12,0,731.75,0,665.52,,USES AVG FROM EACH YEAR PRISM >>>,14080105,0.5322983,275.9067,266.7977,9.109,4.84870525,2876.445755,,
14080106,100.78,0,23.56,0,1925.22,,,14080106,0.5329186,503.324,354.0373,149.2866667,79.55763983,1519.584481,,
14080201,-8.47,0,621.56,-0.01,0,,,14080201,0.5886243,231.8963,242.5933,0,0,0,,
14080204,-2.73,0,9961.97,-0.03,0,,,14080204,0.3139667,221.6497,229.891,0,0,0,,
14080205,-2.29,0,1798.78,0,0,,,14080205,0.5168333,202.5337,209.016,0,0,0,,
15010001,39.01,3.90065E-05,3802.84,0.15,120257.59,,,15010001,0.6554354,315.9913,266.6793,49.312,32.32083258,99645.63195,,
15010002,18.46,0,6607.56,0.12,98887.85,,,15010002,0.7664727,315.053,293.1347,21.91833333,16.79980361,89993.88345,,
15010003,25.7,2.56959E-05,4428.92,0.11,92263.39,,,15010003,0.4219785,366.698,319.727,46.971,19.82075161,71168.14196,,
15010004,53.06,5.30643E-05,7599.01,0.4,326909.17,,,15010004,0.8373355,376.5477,331.1217,45.426,38.03680181,234330.4262,,
15010005,6.9,6.90324E-06,4373.32,0.03,24475.49,,,15010005,0.8184068,229.0473,222.9867,6.06066667,4.960091,17586.06092,,
15010006,3.64,3.64161E-06,2177.02,0.01,6427.21,,,15010006,0.8068157,254.422,254.3487,0.07333333,0.05916648,104.4253223,,
15010007,5.48,5.47896E-06,3663.42,0.02,16272.42,,,15010007,0.3043448,246.0207,240.1103,5.91033333,1.79877939,5342.349393,,
15010009,5,4.99804E-06,3902.75,0.02,15813.89,,,15010009,0.4048616,319.813,320.187,0,0,0,,
15010010,10.73,1.07273E-05,1275.67,0.01,11094.22,,,15010010,0.5522088,259.799,243.5307,16.26833333,8.98351704,9290.78502,,
15010014,6.03,6.02579E-06,1795.62,0.01,8771.96,,,15010014,0.5607802,177.5217,183.403,0,0,0,,
15020001,22.87,2.28668E-05,1955.84,0.04,36258.17,,,15020001,0.4165121,398.805,374.4123,24.39266667,10.15984024,16109.71568,,
15020002,12.91,1.29091E-05,4188.55,0.05,43835.74,,,15020002,0.3850057,294.0263,279.8267,14.19966667,5.46695222,18564.21781,,
15020003,0.65,6.46736E-07,857.03,0,449.36,,,15020003,0.5109047,243.7897,255.1687,0,0,0,,
15020004,9.52,9.51918E-06,1801.74,0.02,13904.62,,,15020004,0.6068378,247.3047,247.0013,0.30333333,0.18407414,268.876331,,
