HUC8,Recharge_af
14070006,3638.1
14070007,10930.66
14080105,665.52
14080106,1925.22
14080201,0
14080204,0
14080205,0
15010001,120257.59
15010002,98887.85
15010003,92263.39
15010004,326909.17
15010005,24475.49
15010006,6427.21
15010007,16272.42
15010009,15813.89
15010010,11094.22
15010014,8771.96
15020001,36258.17
15020002,43835.74
15020003,449.36
15020004,13904.62
15020005,28285.48
15020006,15059.78
15020007,22623.18
15020008,29824.78
15020009,5892.55
15020010,25968.74
15020011,0
15020012,0
15020013,0
15020014,0
15020015,108246.37
15020016,66300.97
15020017,1574.13
15020018,13599.94
15030101,10959.63
15030103,10075.47
15030104,24424.08
15030105,11667.92
15030106,7544.18
15030107,153.56
15030108,2238.23
15030201,45367.28
15030202,38057.86
15030203,11279.64
15030204,7086.33
15040002,0
15040003,0
15040004,53054.85
15040005,0
15040006,0
15040007,0
15050100,0
15050201,0
15050202,0
15050203,0
15050301,0
15050302,0
15050303,0
15050304,0
15050305,0
15050306,2807.62
15060101,161164.46
15060102,147175.97
15060103,90363.07
15060104,21241.4
15060105,49971.45
15060106,0
15060201,69250.69
15060202,120539.99
15060203,43368.67
15070101,7350.66
15070102,0
15070103,4104.12
15070104,0
15070201,9567.01
15070202,0
15070203,20586.36
15080101,39883.05
15080102,17932.21
15080103,8207.91
15080200,3236.91
15080301,0
15080302,7467.63
,
,26 = 0
