HUC8,recharge_mm,km,Area_km2,recharge_km3,recharge_AF,This was calculated by averaging all of the 0s together instead of averaging the years that showed negative recharge
14070006,7.005446884,7.00545E-06,3696.54,0.025895915,20994.18,
14070007,11.06437029,1.10644E-05,989.57,0.010948969,8876.48,
14080105,11.18861544,1.11886E-05,731.75,0.008187269,6637.53,
14080106,79.7878432,7.97878E-05,23.56,0.001879802,1523.98,
14080201,3.381438604,3.38144E-06,621.56,0.002101767,1703.93,
14080204,2.207223205,2.20722E-06,9961.97,0.021988291,17826.22,
14080205,4.408287203,4.40829E-06,1798.78,0.007929539,6428.59,
15010001,31.13170742,3.11317E-05,3802.84,0.118388902,95979.54,
15010002,20.99000837,2.099E-05,6607.56,0.13869274,112440.15,
15010003,21.34641808,2.13464E-05,4428.92,0.094541578,76646.18,
15010004,38.89299854,3.8893E-05,7599.01,0.295548285,239605.13,
15010005,14.76470304,1.47647E-05,4373.32,0.064570771,52348.43,
15010006,12.20854242,1.22085E-05,2177.02,0.026578241,21547.35,
15010007,5.787036869,5.78704E-06,3663.42,0.021200347,17187.42,
15010009,7.979614534,7.97961E-06,3902.75,0.031142441,25247.61,
15010010,11.77920613,1.17792E-05,1275.67,0.01502638,12182.10,
15010014,6.646293875,6.64629E-06,1795.62,0.011934218,9675.24,
15020001,13.18862454,1.31886E-05,1955.84,0.025794839,20912.24,
15020002,7.927041478,7.92704E-06,4188.55,0.03320281,26917.98,
15020003,4.682627346,4.68263E-06,857.03,0.004013152,3253.52,
15020004,9.159892119,9.15989E-06,1801.74,0.016503744,13379.82,
15020005,11.5206695,1.15207E-05,2456.8,0.028303981,22946.43,
15020006,17.13701392,1.7137E-05,1430.89,0.024521182,19879.67,
15020007,9.885173273,9.88517E-06,2889.69,0.028565086,23158.12,
15020008,3.707795696,3.7078E-06,6539.44,0.024246907,19657.31,
15020009,10.14578353,1.01458E-05,2106.65,0.021373615,17327.89,
15020010,10.34469023,1.03447E-05,2123.64,0.021968398,17810.09,
15020011,5.879517213,5.87952E-06,4342.5,0.025531803,20698.99,
15020012,4.713247043,4.71325E-06,1895.56,0.008934243,7243.12,
15020013,1.128994917,1.12899E-06,2994.49,0.003380764,2740.83,
15020014,1.626547379,1.62655E-06,2432.49,0.00395656,3207.64,
15020015,36.04083371,3.60408E-05,3106.55,0.111962652,90769.69,
15020016,9.032462361,9.03246E-06,6201.87,0.056018157,45414.70,
15020017,3.875033302,3.87503E-06,2121.58,0.008221193,6665.04,
15020018,6.633422272,6.63342E-06,6868.47,0.045561462,36937.31,
15030101,8.018286625,8.01829E-06,3134.43,0.025132758,20375.48,
15030103,7.550425296,7.55043E-06,3449.44,0.026044739,21114.83,
15030104,11.98513525,1.19851E-05,3944.18,0.047271531,38323.69,
15030105,8.224045076,8.22405E-06,4185.3,0.034420096,27904.85,
15030106,10.74902046,1.0749E-05,1850.43,0.01989031,16125.35,
15030107,5.242721069,5.24272E-06,184.14,0.000965395,782.66,
15030108,6.92645567,6.92646E-06,1634.16,0.011318937,9176.42,
15030201,7.107708836,7.10771E-06,5576.21,0.039634077,32131.90,
15030202,13.90677401,1.39068E-05,1846.91,0.02568456,20822.83,
15030203,8.077743107,8.07774E-06,3710.89,0.029975616,24301.65,
15030204,10.69123932,1.06912E-05,2783.02,0.029753933,24121.93,
15040002,3.207559278,3.20756E-06,1381.12,0.004430024,3591.48,
15040003,0.975512379,9.75512E-07,44.58,4.34883E-05,35.26,
15040004,27.37432684,2.73743E-05,2429.67,0.066510581,53921.06,
15040005,2.104958206,2.10496E-06,7171.8,0.015096339,12238.81,
15040006,4.562422324,4.56242E-06,5221.92,0.023824604,19314.94,
15040007,2.100866666,2.10087E-06,2786.71,0.005854506,4746.33,
15050100,6.186054724,6.18605E-06,8508.07,0.052631387,42669.00,
15050201,5.033540144,5.03354E-06,4284.53,0.021566354,17484.14,
15050202,2.79109261,2.79109E-06,4631.43,0.01292675,10479.90,
15050203,3.01995426,3.01995E-06,5133.36,0.015502512,12568.10,
15050301,3.744336636,3.74434E-06,5771.98,0.021612236,17521.34,
15050302,3.48999078,3.48999E-06,2384.94,0.008323419,6747.91,
15050303,2.285789547,2.28579E-06,4357.82,0.009961059,8075.57,
15050304,3.541007921,3.54101E-06,3649.14,0.012921634,10475.75,
15050305,2.192206592,2.19221E-06,1899.01,0.004163022,3375.02,
15050306,3.640401166,3.6404E-06,3130.76,0.011397222,9239.89,
15060101,39.29022442,3.92902E-05,3241.24,0.127349047,103243.66,
15060102,97.51026658,9.75103E-05,1653.01,0.161185446,130675.30,
15060103,18.5776475,1.85776E-05,5579.21,0.103648597,84029.37,
15060104,13.3722468,1.33722E-05,1838.82,0.024589155,19934.77,
15060105,22.85272925,2.28527E-05,2715.83,0.062064128,50316.26,
15060106,7.294493377,7.29449E-06,2696.06,0.019666392,15943.82,
15060201,10.01775989,1.00178E-05,5578.16,0.055880668,45303.24,
15060202,20.1638472,2.01638E-05,6496.47,0.130993828,106198.53,
15060203,14.51857314,1.45186E-05,5093.64,0.073952385,59954.23,
15070101,4.1422804,4.14228E-06,5221.07,0.021627136,17533.42,
15070102,3.588193636,3.58819E-06,7115.79,0.025532832,20699.82,
15070103,4.7254283,4.72543E-06,3810.24,0.018005016,14596.92,
15070104,5.674132327,5.67413E-06,5002.53,0.028385017,23012.13,
15070201,4.722324917,4.72232E-06,10858.12,0.051275571,41569.82,
15070202,5.629025867,5.62903E-06,2784.04,0.015671433,12705.05,
15070203,7.586672233,7.58667E-06,4263.09,0.032342667,26220.65,
15080101,9.257132912,9.25713E-06,5582.5,0.051677944,41896.03,
15080102,18.72215614,1.87222E-05,1099.48,0.020584636,16688.25,
15080103,8.417543671,8.41754E-06,1288.8,0.01084853,8795.06,
15080200,13.51524217,1.35152E-05,332.92,0.004499494,3647.80,
15080301,3.820471864,3.82047E-06,3119.91,0.011919528,9663.33,
15080302,10.09691437,1.00969E-05,1021.79,0.010316926,8364.08,
