HUC,P_mm,ET_mm,Q_mm,,
15040003,314.1759644,376.6709798,-62.49501546,,26 of 84 are negative
15050203,384.2001038,419.5589406,-35.35883687,,
15040007,410.1802063,445.0410105,-34.86080424,,
15040005,370.3423462,392.5506856,-22.20833944,,
15040002,319.087677,340.515064,-21.42738698,,
15020013,206.8010406,227.3747693,-20.57372869,,
15050301,398.2409668,417.7437383,-19.5027715,,
15070102,344.7214661,362.1489965,-17.42753042,,
14080201,228.0244446,242.5940626,-14.56961797,,
15020014,202.6123657,217.0122063,-14.39984055,,
15050202,375.0815735,389.3566798,-14.2751063,,
15080301,360.507782,374.3449158,-13.83713379,,
15070104,194.0491028,207.8177841,-13.76868134,,
15050302,409.6328125,420.748438,-11.11562551,,
15060106,306.515564,316.1611898,-9.645625814,,
15050100,303.3667908,312.6371348,-9.270344035,,
15040006,321.168396,329.8464193,-8.678023275,,
14080204,222.5892639,229.8905268,-7.301262919,,
15050201,378.2767334,384.8078781,-6.531144714,,
15020012,216.1100616,222.5868858,-6.476824188,,
15050305,260.1342163,265.9361516,-5.801935323,,
14080205,203.6268616,209.0153214,-5.388459778,,
15050304,344.0074463,347.4598231,-3.452376811,,
15070202,159.8383026,162.0447856,-2.206482951,,
15020011,226.2378235,228.3302213,-2.092397817,,
15050303,223.1097412,223.4560669,-0.346325684,,
15020003,256.1864319,255.1692886,1.01714325,,
15020017,206.7069855,205.0145724,1.692413076,,
14080105,268.6387024,266.7979772,1.840725199,,
15030107,77.49118042,75.54176216,1.949418259,,
14070006,196.5677338,194.5398318,2.027901967,,
15070201,123.7244568,121.4894728,2.234983953,,
15050306,235.350235,232.576431,2.773803965,,
15030108,81.80383301,78.72805347,3.075779533,,
15020018,205.5636139,202.0851822,3.478431702,,
15070103,312.848114,309.0320262,3.81608785,,
15010006,258.528595,254.348451,4.180143992,,
15070101,183.3935089,178.9932343,4.400274658,,
15030105,161.8463593,156.6923871,5.153972117,,
15020009,234.72435,229.2340708,5.490279134,,
15030204,207.3717651,201.8560926,5.515672557,,
15030106,135.8777161,129.1173421,6.760373942,,
15030103,213.7977905,205.5283053,8.269485219,,
15010005,231.3918915,222.9867068,8.405184682,,
15010014,192.1814728,183.4024453,8.77902743,,
15030101,152.6612549,142.5456773,10.11557757,,
15030104,117.0403137,106.2077038,10.83260994,,
15010007,251.211731,240.1105321,11.10119883,,
15070203,152.2164764,140.9674352,11.24904124,,
15020004,259.7114563,247.0014776,12.70997874,,
15030203,357.135376,343.9842102,13.15116577,,
15020007,235.051239,221.3757019,13.67553711,,
15080302,371.1637268,355.9740631,15.1896637,,
15010009,335.8613892,320.1867132,15.67467601,,
15080103,138.7078552,121.9040073,16.80384789,,
15080101,278.007019,260.1611776,17.84584147,,
15020006,293.3694763,275.0652649,18.30421143,,
15020008,306.3958435,286.8941549,19.50168864,,
15010010,264.3123474,243.5309812,20.78136622,,
15060203,471.8070984,450.7673253,21.03977305,,
15010002,316.2727966,293.1348862,23.13791046,,
15030201,316.2006531,291.6016902,24.59896291,,
14070007,297.6107178,269.8608622,27.74985555,,
15020002,308.0864258,279.8273972,28.25902863,,
15080200,468.3090515,438.8136973,29.49535421,,
15020005,401.927887,370.5718557,31.35603129,,
15060104,480.5621948,446.9898305,33.5723643,,
15060201,378.8768616,345.1758189,33.70104268,,
15020016,274.6018372,237.7504435,36.85139364,,
15060103,503.7419739,460.8955495,42.84642436,,
15020001,417.5341187,374.4114894,43.12262929,,
15020010,418.2761536,371.6982315,46.57792206,,
15060202,479.7788696,432.5875687,47.19130096,,
15080102,233.4642334,185.937028,47.5272054,,
15040004,483.9142456,425.6622396,58.25200602,,
15010001,325.5453186,266.6793533,58.86596527,,
15010003,380.3504944,319.7265508,60.62394358,,
15010004,392.7410889,331.1219477,61.61914113,,
15060105,535.8106079,472.3821086,63.42849935,,
15030202,414.2128601,335.164916,79.04794413,,
15020015,449.2820435,367.7608266,81.52121684,,
15060101,589.6015625,489.3186076,100.2829549,,
14080106,522.8095703,354.0371312,168.7724391,,
15060102,664.6303101,491.8596344,172.7706757,,
